Date,WTI Spot (Dollars per barrel),US Dollar Index,Index of global real economic activity,10 Year Bond Yield for USA (Index),Gold Price (USD)
Jan-1986,22.93,121.52,-37.81,108.5,352.9
Feb-1986,15.46,115.08,-51.76,102.7,341
Mar-1986,12.61,117.92,-55.40,91.8,334.8
Apr-1986,12.84,111.77,-61.56,86.2,348.1
May-1986,15.38,117.51,-66.40,91,347.1
Jun-1986,13.43,111.61,-69.36,92.1,347.7
Jul-1986,11.59,108.04,-80.98,86.2,369.7
Aug-1986,15.1,106.43,-78.32,84.6,393.3
Sep-1986,14.87,106.74,-54.28,87.9,429.8
Oct-1986,14.9,109.27,-48.83,87.7,405.5
Nov-1986,15.22,105.92,-51.15,85.6,394.8
Dec-1986,16.11,103.58,-60.14,84,406.9
Jan-1987,18.65,99.86,-46.54,83.6,408.9
Feb-1987,17.75,99.26,-41.81,85.6,407.4
Mar-1987,18.3,97.11,-35.10,85.6,422.7
Apr-1987,18.68,95.94,-25.20,94.7,456.5
May-1987,19.44,97.77,-19.45,101.7,456
Jun-1987,20.07,98.13,-30.74,99.2,452.2
Jul-1987,21.34,99.79,-33.68,99.7,475.1
Aug-1987,20.31,97.32,-18.80,103.4,458.7
Sep-1987,19.53,98.57,-22.35,111.2,458.8
Oct-1987,19.86,93.65,-17.34,112.4,471.2
Nov-1987,18.85,89.15,-12.33,104.6,497.2
Dec-1987,17.28,85.42,-5.14,106.1,488.9
Jan-1988,17.13,90.34,2.87,102.3,458.5
Feb-1988,16.8,90.53,14.12,96.9,431.9
Mar-1988,16.2,88.3,19.22,98.8,457.9
Apr-1988,17.86,89.16,11.68,102.9,452.6
May-1988,17.42,91.09,5.23,107.3,459.8
Jun-1988,16.53,95.41,-5.08,105.3,437.7
Jul-1988,15.5,97.53,-11.44,106.9,447.3
Aug-1988,15.52,98.42,-9.37,109.3,439.9
Sep-1988,14.54,97.69,-4.82,106,399.2
Oct-1988,13.77,93.76,-1.91,103.8,415.1
Nov-1988,14.14,90.53,7.87,105.8,429.6
Dec-1988,16.38,92.5,11.34,107.5,412.3
Jan-1989,18.02,96.77,17.81,107.3,395.8
Feb-1989,17.94,94.9,12.24,108.2,390.4
